OBJECTID,StopAbbr,StopName,FacingDir,Lighting,ADA_ACCESS,BASE,Route_List,Municipality,County,Ons_Dec19,OFFs_Dec19,Position,LIFT,CURB,CURB_CUT,SIDEWALK,Stop_Type,Latitude,Longitude,Census_2010_Tracts_GA_GEOID10,Census_2010_Tracts_GA_NAMELSAD10,Census_2010_Tracts_GA_INTPTLAT10,Census_2010_Tracts_GA_INTPTLON10,NoCarPercentage19,MedHHI19,TotPop19,PerCapitaInc19,Missing Amenities,Shelter
139,159126,CLEVELAND AVE SE @ ALTAVIEW DR SE,W,0,N,DIRT,78,Atlanta,Fulton,6.831964,2.359357,FS,N,Y,N,N,Sign,33.68079,-84.382179,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5,Lighting ADA_Access Sidewalk,0
143,211328,OLD HAPEVILL RD @ CLEVELAND AVE,N,1,Y,CONC,178,Atlanta,Fulton,30.501861,49.939123,NS,Y,Y,Y,Y,MARTA Shelter,33.680983,-84.393609,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5,  ,1
149,137038,METROPOLITAN PKY SW@CLEVELAND AVE S,N,1,Y,DIRT,95,Atlanta,Fulton,96.255751,39.114686,NS,Y,Y,Y,Y,Sign,33.681059,-84.40758,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0
150,159128,CLEVELAND AVE SE @ BROWNS MILL RD SE,W,1,Y,DIRT,78,Atlanta,Fulton,30.996615,14.394973,FS,Y,Y,Y,Y,Sign,33.681074,-84.384732,13121007001,Census Tract 70.01,33.6915165,-84.3868055,25,29528,4539,14048.4,  ,0
152,159302,CLEVELAND AVE SW @ MACON DR SW,W,0,Y,CONC,78,Atlanta,Fulton,47.749817,7.130489,NS,Y,Y,Y,Y,Sign,33.68116,-84.388657,13121007001,Census Tract 70.01,33.6915165,-84.3868055,25,29528,4539,14048.4,Lighting  ,0
153,158310,CLEVELAND AVE SW @ METROPOLITAN PKWY,E,1,Y,CONC,78,Atlanta,Fulton,104.634969,242.841985,NS,Y,Y,Y,Y,MARTA Bench,33.68118,-84.40826,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0
160,158318,CLEVELAND AVE SW @ THIRD AVE,W,1,Y,DIRT,78,Atlanta,Fulton,13.079704,2.070781,NS,Y,Y,Y,Y,Sign,33.68127,-84.40239,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0
164,158322,CLEVELAND AVE SW @ METROPOLITAN PKWY SW,W,1,Y,CONC,78,Atlanta,Fulton,232.153568,97.619474,NS,Y,Y,Y,Y,MARTA Bench,33.681346,-84.407551,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0
167,158323,CLEVELAND AVE@650,W,1,Y,DIRT,78,Atlanta,Fulton,0,0,OP,Y,Y,Y,Y,Sign,33.68146,-84.41009,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0
172,211203,OLD HAPEVILLE RD SW@2672,N,1,Y,DIRT,178,Atlanta,Fulton,16.260747,1.897302,AT,Y,Y,Y,Y,Sign,33.68208,-84.394062,13121007001,Census Tract 70.01,33.6915165,-84.3868055,25,29528,4539,14048.4,  ,0
180,144020,GREENBRIAR PKWY SW @ 3480,N,1,N,DIRT,83;183,Atlanta,Fulton,4.651915,0.824288,AT,Y,Y,N,N,Sign,33.682966,-84.503503,13121007706,Census Tract 77.06,33.6739956,-84.5227940,21.7,45101,9597,29083.5, ADA_Access Sidewalk,0
188,210501,GREENBRIAR PKWY SW @ 3378,E,1,Y,CONC,83;183,Atlanta,Fulton,114.861403,10.161601,AT,Y,Y,Y,Y,MARTA Shelter,33.683991,-84.500573,13121007706,Census Tract 77.06,33.6739956,-84.5227940,21.7,45101,9597,29083.5,  ,1
190,149032,OLD HAPEVILLE RD SW@JUDY  SW,NE,1,Y,DIRT,178,Atlanta,Fulton,13.14875,3.052298,NS,Y,Y,Y,Y,Sign,33.684074,-84.392715,13121007001,Census Tract 70.01,33.6915165,-84.3868055,25,29528,4539,14048.4,  ,0
195,144014,BARGE RD SW @ BUNKER HILL DR SW,S,1,Y,DIRT,83;183,Atlanta,Fulton,17.689916,1.798873,NS,Y,Y,Y,Y,Sign,33.684635,-84.506342,13121007706,Census Tract 77.06,33.6739956,-84.5227940,21.7,45101,9597,29083.5,  ,0
203,211650,JONESBORO RD SE @ 2491,S,1,Y,DIRT,55;78,Atlanta,Fulton,35.912852,34.086471,AT,Y,Y,Y,Y,Sign,33.685335,-84.364793,13121007002,Census Tract 70.02,33.6920888,-84.3682100,5.5,45451,2651,20640.7,  ,0
237,145026,GREENBRIAR PKWY @ THE FONTAINEBLEAU,SW,1,Y,CONC,66;83;93;183,Atlanta,Fulton,164.175341,319.468383,NS,Y,Y,Y,Y,MARTA Shelter,33.688256,-84.489702,13121007705,Census Tract 77.05,33.6831530,-84.4909911,27.5,25906,4043,18419.6,  ,1
239,211408,JONESBORO RD SE@MCWILLIAMS RD SE,N,1,Y,DIRT,55,Atlanta,Fulton,30.475753,4.558319,NS,Y,Y,Y,N,Sign,33.688665,-84.363947,13121007002,Census Tract 70.02,33.6920888,-84.3682100,5.5,45451,2651,20640.7,  Sidewalk,0
